,episodes,sfw,start_year,episode_duration,total_duration,synopsis_char_count,title_char_count,start_date_day_of_year,end_date_day_of_year,broadcast_time,is_Action,is_Adventure,is_Drama,is_Fantasy,is_Sci-Fi,is_Suspense,is_Supernatural,is_Award Winning,is_Romance,is_Comedy,is_Sports,is_Slice of Life,is_Mystery,is_Avant Garde,is_Horror,is_Ecchi,is_Gourmet,is_Boys Love,is_Girls Love,is_Hentai,is_Erotica,is_Shounen,is_Seinen,is_Shoujo,is_Josei,is_Kids,score
37,12.0,1,2012.0,1440.0,17280.0,858,20,99.0,176.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56
38,25.0,1,2016.0,1380.0,34500.0,1113,29,8.0,183.0,85.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5
39,12.0,1,2022.0,1435.0,17220.0,1044,43,10.0,94.0,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.82
40,12.0,1,2019.0,1500.0,18000.0,811,58,12.0,89.0,1410.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.41
41,39.0,1,2018.0,1420.0,55380.0,1084,46,279.0,209.0,65.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.58
42,39.0,1,2016.0,1422.0,55458.0,840,53,93.0,359.0,30.0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5
44,24.0,1,2014.0,1380.0,33120.0,767,26,282.0,85.0,89.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8.35
45,24.0,1,2015.0,1400.0,33600.0,558,62,10.0,171.0,30.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.44
46,26.0,1,2004.0,1440.0,37440.0,1560,16,141.0,78.0,630.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5
48,26.0,1,1995.0,1441.0,37466.0,1545,23,277.0,87.0,1110.0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.34
49,12.0,1,2016.0,1380.0,16560.0,878,23,8.0,85.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.31
